rank,label,url,reel_id,duration_s,hook_first_3s,outro_last_3s,full_transcript,cut_count,cuts_per_second,opening_shot,opening_text,opening_setting,opening_appearance,mid_shot,mid_text,closing_shot,closing_text,broll_frames_count,energy_opening,energy_closing
23,Myles Garrett,https://www.instagram.com/reel/DUgeXV9Erh1/,DUgeXV9Erh1,107.9,"Excuse me, sir. Sir, I have a question for you. How old were you when you became a millionaire?",And could I get your contact? Yeah.,"Excuse me, sir. Sir, I have a question for you. How old were you when you became a millionaire? I've seen you before. You're Miles Gehrer, right? I am. Can I get one minute with you real quick? Sure. So how did you get rich for the people that don't know? I played defensive end for the Cleveland Browns. You're one of the greatest defensive end of all time. If you say so. Tell the people what records you broke this year. For those that don't know, man. Single season sack record. The most of anybody in a single season. Yes, sir. What was the most amount of money you made in a single year? I can't say that. More than 10 million? Yes. More than 15 million? Yes. More than 20 million? Yes. More than 20 million dollars, man. How does that feel? Did you come from a lot of money? No. Was that one of your driving factors? Was that motivation for you? Absolutely. I wanted to give my family a better life, especially my grand. She passed me right before. I got into college and always tried to name down on my tape. When a lot of athletes go into money, they're not used to seeing that much money and a lot of them go and blow it. What are you doing to build that generational wealth? Teams and energy. Renovable energy. Energy. Yes, sir. Part owner and the cabs. Are you a part of a basketball team? I am. How old are you? 30. 30 years old. 30 years old. I'm going to challenge you. What's the greatest piece of advice you received throughout your career? In high school, that's when it was, I was really into basketball and my head coach at the time for football, they told me I needed to be all in or all out. You can't do anything half-assed. If I wanted to be great, I had to give everything to it all. Did you ever fear anything on the football field? Never. Why not? They put on the shorts just like me and they got to see me just like I see them. What would yourself talk like? Because you see you, man. I mean, you are an aggressor. You get after it. What are you telling yourself mentally when you're on that football field? You're prepared for everything that you're going to see. You're the greatest in the world. You know, it's time to go out and show it. Did you ever worry about what people thought about you? Never. Why not? I'm sure you've had haters with this amount of success. Yeah, I mean, you are who you are. And Jalen Brown told me that they don't build statutes for haters. They build them for people that do things like miles of gear. You damn right. Do you believe in God? I do. You know, every sack I put up to this guy, I kiss my wrist and I have a cross there as well and I believe that's almost completely part of my process and my success. Jesus is keen. Every day. You've got amazing advice, my friend. Thank you so much. I got to ask you, man. I connect with all the millionaires and billionaires that you do. And could I get your contact? Yeah.",91,0.84,medium close-up,You're Myles Garrett right?,Indoor hallway or building entrance,"Male wearing a white ribbed long-sleeve shirt, dark hair with fade haircut, viewed from behind.",medium close-up,If I want it to be great...,medium close-up,You got amazing advice my friend.,0,medium,medium
24,Random,https://www.instagram.com/reel/DUtSCiDDtAh/,DUtSCiDDtAh,123.9,"Excuse me sir, is this your Rolls Royce? Yeah. How did you get rich?",Could I get your contact? I can give you my phone number. I don't do email.,"Excuse me sir, is this your Rolls Royce? Yeah. How did you get rich? How did I get rich? Yeah, what line of business for you? When I go all over the world, I actually grew up very, very poor. What were you saying? I grew up in Indiana, very, very poor. I didn't like being poor, so I just outworked everybody. What line of business did you get into? Well, I first started running companies, and I started buying companies. So like the private equity game? Yes. What was the number one business book that changed your life? I never read a business book. You never read a business book? No, I was born with it in my DNA. Do you think everybody spilled for entrepreneurship though? There's 8 billion people in the world. There's only 5,000 people in the world that have $500 million of net worth. You go to where you put them? Are you one of those people? Absolutely. And I believe God sends 8 billion people down the line. Like in an automobile industry, we all get parts. Who is your God? Jesus Christ. So you're a Christian? Absolutely. How did you know God was real? How did you know Jesus was real? I grew up in a family that didn't have a car, couldn't pay the rent. And so there's a story they tell. I was 12 years old coming from the Lillid Park. I got two of my friends. We were very, very poor. And what happened is Walt Disney was building Disney World in Anaheim. I never talked about how they're going to save their money and go to Disney World. And my friends asked me, why was I not speaking? And I said, I'm listening. And they said, you want to go to Disney World? And I said, no, I want to own it. I wasn't thinking about the roller coaster at 12 years old. I was thinking about all those people standing in line and I'm in this little booth like the movie theater taking in the money. And that's because when I got sent down the line, God gave me skills that other people didn't have. How do you know? I'm 82. You're not 82. I am. Are you lied to me? No, I'm not. I haven't lied to you at all. I'm 82 years old. How do you look like this at 82? I would have thought maybe 60. My dad had a story about that. He was 20 years older than my mother. He said, Mr. Ewing, how do you look so good? My dad said, son, there's five reasons. I don't smoke, drink, cause, do drugs, associate with wild women. He said, I've only had one really, really bad habit in my life. He said, son, I lie like hell. That's original from my father. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? Never quit. You know why? Everybody can do that. All eight billion people have one skill that's in common. They all can quit. Never give up. You got amazing advice, sir. I connect with all the billionaires at any of you. Could I get your contact? I can give you my phone number. I don't do email.",66,0.53,medium,I actually grew up...,Modern residential driveway/courtyard,"Older gentleman with white/silver hair, glasses, wearing a bright red windbreaker jacket over a light pink dress shirt and dark navy pants",medium close-up,like the movie theater...,medium close-up,Never give up.,0,medium,medium
25,Random,https://www.instagram.com/reel/DUOatvyDjw_/,DUOatvyDjw_,122.5,"Excuse me ma'am. Ma'am, question for you. How old were you when you became a millionaire?","Yes, of course. I give it to you. Call me anytime.","Excuse me ma'am. Ma'am, question for you. How old were you when you became a millionaire? 28. 28 years old and then how did you get rich? You're not going to ask me when I became a billionaire. Are you serious? Yes. How did you become a billionaire? How did you get rich? Own business. You have to own your business. Yes. So how many companies do you own? I have more than 10 companies around the world. Can I interview you for a minute? Yes, of course. So what was the most amount of money you made in a single year? When I was young, 6 months, $80 million. You made $80 million in 6 months? Yes. What business? IP licensing. Did you come from a lot of money? I started with negative debt of $3 million. You started negative 3 billion. How? My family member passed away and I inherited $3 million in debt, not in cash. For somebody who is stuck in that cycle of poverty, what advice would you give to them? If you want to escape the cycle of poverty, be friends with at least one rich person because all the rich people want to teach you how they become rich. They want to give you some money to start your business. The poor will only bring you down. Did you go to college? Yes. Of course, I had 2 master degree before I was 20 years old. What's one lesson about business that you would teach me right here that is not taught in business school? Okay. A lot of people aim for sale for the figure of the revenue. No, not the revenue, not even profit. Because your profit could be hidden in the bad debts, in the things that you can't get. The most important thing is the net cash that you can take out of the business as the net dividend after tax in your pocket. That's all that's count. That's game right there. Where are you from? My parents are from Thailand, but I live in Monaco. How important is it for an entrepreneur to leave their hometown? It is the best thing. Every time you leave your hometown, it's no longer comfortable. You become enlightened. So it's safe to say that you can't become a billionaire working from home. You're not a tree. You're not a tree. If you're going to sit on the couch, go sit on the couch in Paris. If me and you die tomorrow and you had one more message to leave with the younger generation, what would that be? Remember, don't always try to make people like you. Because when you're successful, you will have haters. You only need to please God. And that's it. Because humans, you can never please them. They can't even please themselves. You have amazing advice. Thank you. I connect with all the billionaires at any of you. Could I get your contact? Yes, of course. I give it to you. Call me anytime.",92,0.75,medium close-up,SCHOOL OF HARD KNOCKS,indoor lobby or entrance area,"Woman wearing black and white floral patterned blazer, white undershirt, pearl drop earrings, and gold jewelry, holding a drink; another woman in white lace top visible on left",medium close-up,In the things that you can't get.,medium,You have amazing advice.,0,high,medium
26,Random,https://www.instagram.com/reel/DTlLfPMjpzW/,DTlLfPMjpzW,113.2,"Excuse me ladies. How did you guys get rich? How did you get rich? Hey, how old were you when you became a millionaire?",Of course.,"Excuse me ladies. How did you guys get rich? How did you get rich? Hey, how old were you when you became a millionaire? I was 22 years old. You said 22? 22. 22. How do you now? 34. 34. And how did you get rich? What did you do? I was the founder of an app called Sweat and then we sold. How much did you sell your company for? $400 million. You sold a company for $400 million? Could I interview you for a minute real quick? I go all over the world interviewing the richest people to help the industry. I've seen all your stuff. Where are you from? I'm from Australia. Did you come from a lot of money? Absolutely not. I actually started my parents backyard. Did you have any investors in the company? Did you bootstrap it? We've trapped the whole thing. The entire thing. Yes. $400 million. What's the number one thing that business owners get wrong when they try to sell their company? I mean, I think I did it wrong. I think when you're selling a company you want to be able to sell the company that doesn't have you attached to it. If I could do anything and do it all over again is I would remove myself as part of the company. You want to sell it and be able to celebrate and relax, but for me it wasn't relaxing. They call that the key man risk. That's right. That's why they say that Disney's the best business because Mickey Mouse isn't in the negotiations. That's exactly right. I love that. So there's the truth to that? Absolutely there is. Now you made a lot of millions in your career. How does somebody make their money work for them? Don't put all your eggs in one basket. The first thing that ever made me money that was so excited that I bought was a petrol station. A gas station? A petrol station. A gas station. You bought a gas station? Yeah and I was like, wow, out of all the millions of dollars it's so cool to see rent coming in from a gas station. Like just diversifying your world. Because one day the internet might shut off and it'll all be gone. Were there any days early on that you didn't think that it was going to work out? There were days that I would literally be found in a ball in the corner of my gym crying because I got overwhelmed. So for somebody that may feel like they're at rock bottom, they're dealing with a ton of pressure right now. What would be your message to them? The greatest piece of advice I've ever received is someone said, you know that you are under no obligation to be the same person you were yesterday. And I think that is really strong in the fact that you can make a change. If you have a passion, go for it. You've got amazing advice. Thank you so much. Thank you so much for your time. I appreciate that. I connect with all the millionaires and billionaires I interview. Can I get your contact? Of course.",73,0.64,medium close-up,I was...,"street storefront, urban retail","Woman wearing a tan/camel-colored oversized blazer with black trim, long dark hair parted to the side, minimal visible accessories.",medium close-up,Don't put all your eggs in one basket...,medium close-up,You got amazing advice...,0,medium,high
27,Jameis Winston,https://www.instagram.com/reel/DTa-BIwiT3L/,DTa-BIwiT3L,111.0,Excuse me sir question for you. How old were you when you became a millionaire?,"Can I get your contact? Yeah, absolutely. You can get my contact.","Excuse me sir question for you. How old were you when you became a millionaire? I was 20, 21, 21 years old. And how'd you get rich? God made me a millionaire. God made you a millionaire. Who is your God? Jesus Christ, my Lord and Savior. And what's your name? My name is James Winston. And what do you do? My quarterback. You're an NFL player? Yes, I am. Could I get a minute with you real quick? Yeah, of course. What was the most amount of money that you made in a single year? 20, 25 million actually. 25 million dollars. Did you come from a lot of money? No, I didn't. You did come from money? No, I didn't. You didn't come from a rich family, but a rich family is going to come from you. A wealthy family is going to come from me, three generations behind me, through the choices and decisions that we make. Hey, generational wealth, baby. Absolutely, baby. I mean, a lot of athletes go broke. What did you do with that money when you first started to make it? I didn't really touch my game money. I really worked off my endorsement money. How did you develop that mindset to think so much bigger? Gratitude is the key to abundance. My dad, he told me like the three rules of life. And that's God, that's education. And you can do anything you put your mind to. And the three rules of football was never give up, never give up, never give up. How do you know? I'm 32. Somebody doesn't believe in God. What would your message be to them? My message would be find a local church. You have a creator. You have someone that loves you dearly. Jesus Christ died on the cross for us, and he saved us for our sins. I like that you're not afraid to say that either. A lot of people just say, God, but who is your God? Well, we're called to be bold for his throne, so he can then vouch for us to get into heaven. I love that. These worldly things, they're here. These trees and stuff, they're going to be here for a good while. But we are only here for a vapor. So how can you be an influence? How can you impact someone else to serve a high calling on this earth? This is a vital study that the people need right now. It's simple things, man. It is bigger than you. And I think when you understand that you have a creator that puts you here for a very unique purpose, I just let my life shine, and I let his life shine through me. Can I tell you something? What's up, Joe? That was a beautiful interview, man. I appreciate it. Thank you so much for your time. I connect with all the millionaires and billionaires out there. Can I get your contact? Yeah, absolutely. You can get my contact.",68,0.61,medium close-up,SCHOOL OF HARD KNOCKS,Outdoor park with bare trees,"Man wearing black knit beanie, silver chain necklace, and layered dark and gray jackets.",medium close-up,Jesus Christ died on the cross for us.,medium close-up,I appreciate you.,0,medium,medium
28,Tony Robbins,https://www.instagram.com/reel/DTLh16nifN_/,DTLh16nifN_,131.7,"Excuse me sir, how old were you when you made your first million?",You're a massive inspiration. Thank you so much. Blessings to you.,"Excuse me sir, how old were you when you made your first million? Million or billion? Billion. Billion? That was only recent. A million when I was 24. So you're a billionaire? Yes, fortunately I am. And what's your name? Tony Robbins. How would you not know that if you're at my home? And how did you get rich, man? What do you do? I have this point, 114 companies. We do $12 billion in business per year. Can I interview you for a minute real quick? Of course. Your best networking tip to the younger generation? I'll tell you what Jim Rohn taught me because the best advice I ever got. I was 17 years old. I went to one day and said, help me understand why we're broke. Doesn't seem fair that some school teacher makes in those days $35,000 a year and this billionaire hedge fund guy makes a billion in a year. And he said, Tony, listen to me. He said something I'll never forget. He goes, we're all equal as souls. You're right. But we're not equal in the marketplace. And he said, your job is very simple. You have to become more valuable. You have to do more for others than anybody else in the marketplace. So it's true when they say that life gives to givers and it takes from takers. I think life is always giving to us. It's our job to figure out what it is. I tell people you're rewarded in public for what you constantly practiced intensely in private. You also mastered the art of getting attention. What did you learn about building a personal brand to generate millions and billions of dollars? I would offer you a different thought on that. It's not just attention. The attention economy is already over. It's like the information economy. There's so much information. People are drowning in information. They're starving for wisdom and everybody's trying to get your attention. They've got advertisements on people's asses. It's on bananas. It's everywhere. Come on. What you need is to get results. There's no better marketing tool than results. Then you'll not just have attention. You'll have raving fans and those raving fans will build your business. Credibility kills all bad attitudes. That's the perfect way of saying it. How old are you now? 65, about to be 66. Tony, if me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? There's three skills you got to have. The most important skills in life today. Skill number one is pattern recognition. That's what you're running around doing. What's the common pattern? What's the common belief system? Pattern recognition takes you out of fear. But the second skill is pattern utilization. If you look at somebody's good in finance, it's because they learn how to not see the pattern but use the pattern. But the third skill, the one you want to get to is pattern creation. That's when you come the greatest of all time in your particular category. That's how you get there. But I always tell people, we're not made to manage circumstances. We're made to be creators. We were created, designed to be creators. Become the creator of your own life. You got amazing advice, sir. Thank you. Thank you so much for your time, man. Nice meeting you. You're a massive inspiration. Thank you so much. Blessings to you.",62,0.47,medium close-up,Million when I was...,"Residential backyard, manicured landscaping","Older male wearing black short-sleeved polo shirt, black baseball cap with white cloud logo, holding blue phone device.",medium close-up,What you need is to get results,medium close-up,Become the creator of your own life.,0,medium,medium
29,Random,https://www.instagram.com/reel/DS0Qr7CDk7w/,DS0Qr7CDk7w,128.9,"Excuse me sir, sir, is this your McLaren? Yeah, both is mine.",I actually saw you guys on Instagram before. I'll follow you guys.,"Excuse me sir, sir, is this your McLaren? Yeah, both is mine. How did you get rich, man? I go all over the world interviewing billionaires and successful people. What did you do for a living? I'd rather not say. I'm from the States. I've interviewed 32 billionaires in the last four years. Right. I came out here to interview successful Hong Kong entrepreneurs. Right. What types of businesses did you work? I have a few. What made you want to become an entrepreneur? My family was really poor. My dad grew up really poor. He did. And he made it all himself. And he always told me that I would find my own way. So you ended up making it yourself? Yeah, I mean I never got any help from my family. So are you from Hong Kong? I am, I am born and raised. So what was the most amount of money you made in a single year? Wow, probably 100 million pounds. 100 million pounds? Yeah, yeah, yeah. How was that possible? What business was that primarily? We do global markets. We do IPOs and everything. You take companies public? Yeah, yeah, yeah. You actually? Yeah, yeah, yeah. How did you get into that business? Sorry, sorry, sorry. Sometimes you got to do business mid-interview. One more. One more. What's up? How old are you now? I'm 31. There's a young 20-year-old watching this right now. Right. They want to make 100 million dollars, 100 million pounds in today's world. Give them the blueprint right here. Wow. You know, everyone has their own way out. There's no way you can copy me. There's no way I can copy you. So everyone's different, right? I understand that from competition. It's competitive. No, no, I mean, my market's really niche. We only have a few people in the business. So the riches are in the niches? Definitely. But did you come upon that niche of anything you could have done? I mean, I have a double degree in economics and law. What's important? Book smarts or street smart? Street. Definitely street. I don't care where you graduated from. If you're only book smart, then you might be working for me anyway, right? And that's why they say, see students from the world. Yeah, yeah, yeah. I mean, I never ask anyone who works for me. I never require them to have any specific educational wise. How did you get your street smart? I really don't know how to tell you, but just like you and I, you're street smart. You guys are all street smart, I can tell. It's born, right? It's born with it. Is it inside you? It's definitely born with it. You cannot pretend for it. It doesn't work that way. What's the name of that car right there? Pagani. How much did that cost? 2.5 million pounds. And you bought it cash? Yeah, both of them. You see a lot of young people, they make a little bit of money and then they go buy a car. Was it like that for you in the beginning? No, no, no. Why not? I'm a really traditional Chinese person. I want to bring back to the family, I want to pay back to the family, and then I will spend it on myself. Thank you so much for your time, man. Thank you. What was your name, man? Bobby. Bobby, means a lot to me. I actually saw you guys on Instagram before. I'll follow you guys.",122,0.95,medium,SCHOOL OF HARD KNOCKS,"Urban street, storefront area","Left subject wears a light gray New Era cap, white t-shirt, and gray pants; right subject wears a dark shirt and holds a microphone for the interview.",medium close-up,What's more important,medium close-up,And then I would spend it on myself.,0,high,medium
30,Billionaire,https://www.instagram.com/reel/DS5izL_ievb/,DS5izL_ievb,134.4,"Excuse me, sir, I have a question for you. How old were you?","Can I get your contact? Yeah, yeah, yeah. Is that cool? Yeah, yeah, totally.","Excuse me, sir, I have a question for you. How old were you? Real quick, real quick, how old were you when you became a millionaire? I'm going all over Hong Kong, interviewing the richest people. No, no, no, no. Hey, one minute, real quick. Is that okay? How old were you when you became a millionaire? It's an interesting question, because I'm a billionaire. You're what? I'm not a millionaire. I'm a billionaire. You're a billionaire? Yes. How old are you? I'm 34. So what age did you become a billionaire? 25, I would say 25. I built one of the largest blockchains in the world. Are you serious? Yeah. Can I interview you off to the side real quick for one minute? Okay. Can you tell me a crazy business story? Yes, of course. So I have lunch with Warren Buffett. You had lunch with Warren Buffett? Yes, yes. 2020. How did you get a lunch with Warren Buffett? 4.5 million dollars. So you paid 4.5 million to get a lunch with Warren Buffett? Yes, yes. It wasn't worth it? Yes, it totally wasn't. What did Warren Buffett teach you in that lunch? He said be careful with the one you marry. You need to make this decision really hard. Warren Buffett told you? Yes. And I tell him to invest Tesla and Bitcoin. Do you earn a lot of Bitcoin? Yes, I personally have a lot. A lot of Bitcoin? Yes. Why are you telling Warren Buffett to invest in Bitcoin? The reason Warren Buffett told me not to hold Bitcoin is the reason I invested Bitcoin. Crypto and the blockchain is the money for the internet. AI and the internet won't understand the traditional finance. They won't understand the dollar. They will understand Bitcoin and all the cryptocurrency because it's created by the machine language. If you want to get into crypto, the best time is now. Growing up, did you have any idea that you were going to become a billionaire? For myself, I think 100%. But the people knowing me, I think they have no idea. I become a billionaire. Did you have people that doubted you? Everybody. Everybody? Yes. Among yourself and all of the billionaires that you've met, what is that one trait that they all have in common? For the one thing, all the billionaires all share for me is they all have their own business. So you can't get rich working for somebody else? Exactly. What's your name? Justin Sun. Justin Sun, if me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? Buy Bitcoin. Buy Bitcoin. Buy Bitcoin. It's going to become the future currency. You've got amazing advice, man. Thank you. Justin, I have to ask you. I connect with all the billionaires that I need. Can I get your contact? Yeah, yeah, yeah. Is that cool? Yeah, yeah, totally.",94,0.7,medium,"I'm going all over
Hong Kong","Street exterior, storefront",Left subject wears black baseball cap and black jacket; right subject wears brown jacket with white piping and holds a phone,medium close-up,They will understand Bitcoin,medium close-up,You got amazing advice man...,0,high,medium
31,Random,https://www.instagram.com/reel/DSkzgLKjpL1/,DSkzgLKjpL1,125.0,"Excuse me sir. Sir, is this your yacht?","Yeah. Do you want to come in for a second? Yeah, for sure. Come on guys.","Excuse me sir. Sir, is this your yacht? Yeah. What did you do to be able to buy a yacht? You're in the car business. You're in the car business? And how long have you been in the business? A lot of time. How much was this boat? You want me to take you to New Little Bad News? The Bad News first? The Bad News is 120 million euros. 100 million dollars? 120 million. Could I interview you for one minute? I go all over the world interviewing billionaires and the wealthiest people to help the younger generation. The younger generation? Yeah. Want to go on? Is that cool? How much are you worth today? Big money. Big money. Big money. Have you ever been fucked over in business? Oh yeah, plenty of times that you don't pay backs of a bitch. Yeah. What was your turning point to financial freedom? What made you want to go out there and become such a successful entrepreneur? So, I learned something in my life. I don't know what the word no means. You don't take no for an answer? No. Why not? The people that doubted me, you know, I look at them, I say, you should have never not believed what I can do because here you are, you're out looking to get in and I won't let you in. Have you ever been broke before? No. Never been broke before? No, I don't want to be either. But what keeps so many people broken today's world? But what happens with some people? They make their thoughts bigger than their ass. Write that word down. No, they make their thoughts bigger than their ass. In other words, you know, they do things bigger than they should. How old are you now? 78. 78? You look amazing for 78. Are you still running companies today? Oh yeah, I work every day. Are you serious? What's keeping you so motivated? Is it just the love and the passion you have? I just feel I'm too young to retire you and a lot of people think I'm crazy. I just want to keep going. I'm still buying companies today. You're still buying companies today? Yeah, I now want to go where I had a guy up here and I was buying one of his companies. What type of company? Another car dealership. As a multiple nine figure entrepreneur, what's the best financial advice you could give to the younger generation? I will tell you, a lot of people hoard their money. What I mean by that is money sitting in a bank don't make your money. You know, in the early days, we used to get loan books. They looked like chance books and I had so many loans out and I've made sure we paid them all back. And then I started saying, I'm not going to get no more loans. I'm going to try and do everything with my money. And that's what I did. I wanted to be successful. I want to be the best at what I do. Do you believe in God? I do. How did you know God was real? Look, I'm looking at myself today. I used to think I could fly without wings, but I never tried that one. So you had someone there guiding you all along? Yes. You got amazing advice there. Thank you so much for your time. Could I get your contact? Yeah. Do you want to come in for a second? Yeah, for sure. Come on guys.",99,0.79,medium,You're in the car business?,"Marina, docked yacht","Man wearing black t-shirt with 'School of Hard Knocks' logo on back and white shorts, with a visible bracelet",medium close-up,I just feel I'm too young to retire...,medium close-up,You got amazing advice sir...,0,medium,low
32,Random,https://www.instagram.com/reel/DSQPgV1iSFc/,DSQPgV1iSFc,113.2,"Excuse me, sir. Sir, is this your Bugatti?","Can I get your contact? Sure. Yeah, yeah. Of course. Absolutely.","Excuse me, sir. Sir, is this your Bugatti? How did you get a Bugatti? I haven't met you before. Yes, you have. How did you get a Bugatti, man? I bought it. What a lot of business are you in. I'm one of the biggest real estate developers in the world. Are you actually? We're building the Bugatti building right there. Growing up, did you think that that was ever going to be possible? No, I had a lot of Bugatti posters in my room, but never a Bugatti building. I didn't think so. Which made it a reality. If you have a lot of passion in life, you can achieve a lot of things you thought were dreams. What was the most amount of money that you've made in a single year? A lot. Give me a range. Almost $5 billion. $5 billion. In terms of sales, yeah. Do you think everybody's built for entrepreneurship? No. Why not? You're going to fail a lot of times. Did you ever get rejected in business? Oh, a thousand times. At one point in my life, I used to make 110 calls on average every day. I used to count them, actually. I still have screenshots, pitching to sell buildings, and the amount of times I was ghosted, ignored, rejected, got a big fat no. To be successful, you've got to be a good salesman. And a good salesman is able to take a no and still try again. But you've already made billions of dollars throughout your career. You're still building that you buy Skyline. Why is that? The biggest inspiration for success is success. So success always attracts more success. Remember how you used to grind from day one? Make sure you approach every day, even when you've made it, in the same energy, passion, and hunger. Because if you become complacent, that's the day you lose. You get comfortable. Somebody else is going to come take your business. Comfort is the most dangerous drug. An average is your biggest enemy to becoming success. We want greatness. Absolutely. How do you know? I'm 31. You're 31 years old? I am. I'm proud of you, man. Thank you very much. You inspired the hell out of me. I'm proud of you too. I mean, you're doing very well. Do you believe in God? Of course I do. Everything that happens in this life is in the hands of God. How did you know God was real? Because I saw a lot of miracles in my life. You know, I asked God for miracles in my life, and I saw them happen. A lot of prayers were answered. You've got amazing advice, sir. Thank you very much. Thank you so much, friend. I've got to give you a hug, man. And I'd like to connect with all the billionaires. Can I get your contact? Sure. Yeah, yeah. Of course. Absolutely.",71,0.63,medium,Yes you have...,urban downtown plaza,man in black jacket holding a microphone conducting street interview,medium close-up,to grind from day one...,medium close-up,My friend...,0,medium,medium
33,Ryan,https://www.instagram.com/reel/DSAwz0uCS2-/,DSAwz0uCS2-,100.7,"How did you get rich? You see all these buildings around here? Yes. So far, year to date, we've done $6 billion",Thank you so much for your time. I appreciate you coming.,"How did you get rich? You see all these buildings around here? Yes. So far, year to date, we've done $6 billion in real estate sales. So you're in the real estate business? Very much so. How many billionaires have you met today? 101. You keep a list of them? Absolutely. It's my job. It's my number one job. What is your best networking advice for anybody in business? Every room I go into, I use the two C's. You give someone a compliment and you find something in common. Once you get their contact info, you follow up with them within 10 minutes. I send them a quick note, a quick text. So great meeting you seven and a half minutes ago. Let's do something great together. I keep it unread and then I follow up until they buy or I fucking die. That's how you do it. I try to meet somewhere between five and 15 new people every single day. Give me $6 billion worth of sales advice right here. The simplest idea, which is the hardest to understand is that people hate being sold, but they love shopping with friends. Your number one job as a salesperson is to create relationships. It's not to sell product. I don't think I ever actually sell apartments or sell buildings. I just sold something in Palm Beach, all combined for $308 million. Over the phone, had nothing to do with anything other than the trust and the relationship that I was able to create between a person who wanted to buy and a person who wanted to sell. How do you know? I'm 41. Ryan, if me and you died tomorrow and you had one last message to leave with the younger generation, what would that be? One of the best pieces of advice that I've been given from my most successful and wealthiest billionaire clients is that most people are in a race against time. Time is their greatest asset. The wealthiest people are in a race against moments. I'd love that. I'd rather regret the things I did than the things I never tried. So, take the risk or lose the chance. Of course. You got amazing advice, brother. Thank you so much for your time. I appreciate you coming.",40,0.4,medium close-up,$6 Billion,"urban street, storefront","middle-aged man with gray hair wearing a lavender/mauve blazer, white crew neck sweater, and decorative chain bracelet",medium close-up,apartments or sell buildings...,medium close-up,So...,0,medium,medium
34,Random,https://www.instagram.com/reel/DRAYTnAEehn/,DRAYTnAEehn,112.0,"Yeah, man. Behind the bank. Ball guy.",I love that. Could I get your contact? Yeah.,"Yeah, man. Behind the bank. Ball guy. Billionaire. Right in the TD bank. Right here? Yep. Excuse me, sir. Sir, how old were you when you became a millionaire? Who are you guys? I've reached over 18 million followers. I've interviewed 31 billionaires in the last four years. I've seen you on Instagram. Yes, sir. And they know I am. The cops over there, they told me that you're a billionaire. Did they tell you that? Yeah, they did. That's how you need to ask me questions. Yeah, yeah, that's how I do it. By the way, thank God for the filthy police department. They do a phenomenal job. What line of business are you in? I'm an entrepreneur. But if you turn around, I own from this corner to the next corner. So you owed all these buildings over here. How in the world did you get money to be able to buy buildings like that? I had friendly banks. So you got along well with the bank? You know what? I also paid back the banks, so they saw me as a good client and a good customer. So how much equity would you put into these properties? Would it be like a 30, 70 sort of split between you and the bank? Typically it was 30% down. A lot of times I had to leverage by other real estate and sign off to get the equity. Did you ever think growing up that this was going to be possible, that you were going to own the entire block here in downtown Philadelphia? My real goal is to build a tremendous community here in Philadelphia. And my only reason for wanting to buy these properties was to put in great tenants that people would love to go to. Because I think at the end of the day, as my father taught me, he said, we grow old too soon and wise too late. And what I wanted to do was create an environment that was a lot of fun. How old are you now? I'm not telling you. Give me your age. Give me an idea. You can guess. I'll take it. I have to go. What's your name? Alan. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? Spend as much time as you can with your family. Yeah. Do you have any regrets? No regrets. But when I was 40, my brother was 44 and he passed away. My only sibling. So I miss him. Thank you so much for your time. So I appreciate you. Do you believe in God? Yeah. Has faith helped you out? Yes. What got you through that? You're a good interviewer. Did you enjoy it? Yeah. Yeah? He's very good. Yeah. What got you through that? I think whatever religion you are, praying to God, but also taking care of family. I love that. Could I get your contact? Yeah.",88,0.79,medium,Excuse me sir...,"Urban street corner, downtown",Male wearing black zip-up jacket over light colored shirt and gray/khaki pants,medium close-up,We grow old too soon...,medium,whatever religion you are,0,medium,medium
